업종명,업소명,업소소재지(도로명),업소소재지(지번),소재지전화
미용업(피부),라벨르에스테틱,"경기도 고양시 일산서구 한류월드로 300, 원마운트 2038(일부)호 (대화동)",경기도 고양시 일산서구 대화동 2606번지  원마운트 2038호일부 , 031- 916-6700
미용업(피부),레몬스킨케어,"경기도 고양시 일산서구 강성로 62, 분산상가동 1층 108호 (주엽동, 강선마을9단지아파트)",경기도 고양시 일산서구 주엽동 60번지  강선마을9단지아파트 분산상가동 108호, 031- 916-3669
미용업(피부),얼짱몸짱 일산대화점,"경기도 고양시 일산서구 중앙로 1573, 305호 (대화동, 킨텍스프라자)",경기도 고양시 일산서구 대화동 2220번지 1호  킨텍스프라자 305호, 031- 916-2116
미용업(피부),소담,"경기도 고양시 일산서구 강성로 147, 동문씨티프라자 215호 (주엽동)",경기도 고양시 일산서구 주엽동 18번지 1호  동문씨티프라자 215호, 031- 916-0555
미용업(피부),김용오 테라피,"경기도 고양시 일산서구 주엽로 150, 310호 (주엽동, 자유프라자)",경기도 고양시 일산서구 주엽동 18번지  자유프라자 310호, 031- 914-1391
미용업(피부),아미아 킨텍스점,"경기도 고양시 일산서구 킨텍스로 171, 지하3층 일부호 (대화동, 일산킨텍스복합개발)",경기도 고양시 일산서구 대화동 2703번지  일산킨텍스복합개발 지하3층 일부호, 031- 913-4977
미용업(피부),시가 흐르는 에스테틱,"경기도 고양시 일산서구 대산로 125, 403호 (주엽동, 하나프라자)",경기도 고양시 일산서구 주엽동 30번지  하나프라자 403호, 031- 912-7007
미용업(피부),더맑은스킨 일산주엽점,"경기도 고양시 일산서구 중앙로 1470, 문촌마을 복합상가 D-106호 (주엽동)",경기도 고양시 일산서구 주엽동 17번지  문촌마을 복합상가 D-106호, 031- 912-1797
미용업(피부),마루피부관리실,"경기도 고양시 일산서구 일현로 92, 204호 (탄현동, 탄현마을상가동)",경기도 고양시 일산서구 탄현동 1484번지  탄현마을상가동 204호, 031- 912-1213
미용업(피부),뷰티존에스테틱,"경기도 고양시 일산서구 중앙로 1406, 211호 (주엽동, 한솔코아)",경기도 고양시 일산서구 주엽동 72번지 2호  한솔코아 211호, 031- 911-4925
미용업(피부),레이킨스피부관리실,"경기도 고양시 일산서구 호수로 817, 레이킨스몰 125호 (대화동)",경기도 고양시 일산서구 대화동 2602번지  레이킨스몰 125호, 031- 908-2366
미용업(피부),힐링스파앤 에스테틱 일산점,"경기도 고양시 일산동구 중앙로 1124, 205호 (백석동, 흰돌마을복합상가)",경기도 고양시 일산동구 백석동 1194번지  흰돌마을복합상가 205호, 031- 908-1881
미용업(피부),작은얼굴 금단비가,"경기도 고양시 일산동구 정발산로 43-20, 2층 214호 (장항동, 센트럴프라자)",경기도 고양시 일산동구 장항동 846번지  센트럴프라자 2층 214호 , 031- 908-1383
미용업(피부),정숙자에스테틱,"경기도 고양시 일산동구 강촌로 195, 202(일부)호 (마두동, 백마마을상가동)",경기도 고양시 일산동구 마두동 734번지  백마마을상가동 202(일부)호 , 031- 907-9174
미용업(피부),위뷰티 일산점,"경기도 고양시 일산동구 중앙로 1047 (백석동,영림브레아오피스텔 302호)",경기도 고양시 일산동구 백석동 1331번지  영림브레아오피스텔 302호 , 031- 907-3899
미용업(피부),세라핌,"경기도 고양시 일산동구 일산로 46 (백석동,남정씨티프라자Ⅲ 314호)",경기도 고양시 일산동구 백석동 1308번지  남정씨티프라자Ⅲ 314호 , 031- 906-7877
미용업(피부),정은아피부관리실,"경기도 고양시 일산동구 일산로 206-1, 2층 201(일부)호 (마두동, 백마마을 상가동)",경기도 고양시 일산동구 마두동 732번지   , 031- 905-0554
미용업(피부),황진스킨케어,"경기도 고양시 일산동구 위시티4로 80, 상가-1동 204호 일부호 (식사동, 위시티일산자이1단지아파트)",경기도 고양시 일산동구 식사동 1487번지  위시티일산자이1단지아파트 , 031- 904-6335
미용업(피부),Terra 스킨&스파,"경기도 고양시 일산동구 중앙로 1055, 210호 (백석동,외1필지 레이크하임)",경기도 고양시 일산동구 백석동 1332번지 1호  외1필지 레이크하임 210호, 031- 903-2369
미용업(피부),더스타왁싱,"경기도 고양시 일산동구 중앙로 1305-56, 219호 (장항동, 라페스타D동)",경기도 고양시 일산동구 장항동 765번지  라페스타D동 219호, 031- 903-0940
미용업(피부),퀸피부관리실,"경기도 고양시 일산동구 정발산로 47 (장항동,웅신아트 407호)",경기도 고양시 일산동구 장항동 847번지  웅신아트 407호 , 031- 902-8959
미용업(피부),바른이테라피,"경기도 고양시 일산서구 중앙로 1560, 305호 (대화동, 다산스카이빌)",경기도 고양시 일산서구 대화동 2203번지 3호  다산스카이빌 305호, 031- 901-4999
미용업(피부),비타민피부관리,"경기도 고양시 일산서구 원일로 25, 1층 일부(102호)호 (일산동)",경기도 고양시 일산서구 일산동 969번지 13호   1층일부호, 031- 815-8455
미용업(피부),헬스플러스화정점,"경기도 고양시 덕양구 화신로260번길 64, 201(일부)호 (화정동)",경기도 고양시 덕양구 화정동 975번지 1호  201호 일부 , 031- 815-1781
미용업(피부),발몽에스테틱,"경기도 고양시 일산동구 고봉로 20-26, A동 201호 (장항동, 코오롱레이크폴리스-Ⅲ)",경기도 고양시 일산동구 장항동 745번지  외 2필지 코오롱레이크폴리스-Ⅲ A동 201호, 031- 814-8400
미용업(피부),미앤유뷰티,"경기도 고양시 덕양구 화신로 259, 화정건영캐스빌플러스 2층 204(일부)호 (화정동)",경기도 고양시 덕양구 화정동 1000번지 1호  화정건영캐스빌플러스 2층 204호 일부 , 031- 813-9011
미용업(피부),라인에스테틱,"경기도 고양시 덕양구 원흥5로 4, 5층 502호 (삼송동, 디올리치빌딩 502호)",경기도 고양시 덕양구 삼송동 345번지 1호  디올리치빌딩 502호 ,  02- 382-9500
미용업(피부),성주힐링하우스,"경기도 고양시 덕양구 세솔로1길 5-16, 1(일부)층 (삼송동)",경기도 고양시 덕양구 삼송동 314번지   ,  02- 371-1734
미용업(피부),AJ에스테틱,"경기도 고양시 덕양구 신원로 40, 2층 201호 (신원동, 삼송시티프라자)",경기도 고양시 덕양구 신원동 621번지  삼송시티프라자 201호 ,  02- 357-1227
미용업(피부),미소원스킨앤바디(美소원스킨&바디),"경기도 고양시 일산서구 하이파크1로 77, 하이파크스퀘어 204호 (덕이동)",경기도 고양시 일산서구 덕이동 1604번지  하이파크스퀘어 204호,    -326 -7553
미용업(피부),제이앤제이스킨앤네일,"경기도 고양시 일산서구 가좌1로 8, 가좌마을5단지 상가동 B103-3(일부)호 (가좌동)","경기도 고양시 일산서구 가좌동 1087번지  가좌마을5단지 상가동, B103-3호일부 ",    - 972-9992
미용업(피부),마리피부관리,"경기도 고양시 덕양구 충경로 137, 2층 204호 (행신동, 소만마을 상가동)",경기도 고양시 덕양구 행신동 791번지  소만마을 상가동 204호,    - 938-7122
미용업(피부),뉴페이스&바디,"경기도 고양시 일산동구 강석로 123, 뉴삼창마트 A동 149호,150호,151호 (마두동)",경기도 고양시 일산동구 마두동 802번지  뉴삼창마트 ,
미용업(피부),래빗뷰티,"경기도 고양시 일산서구 중앙로 1406, 209호214호 (주엽동, 한솔코아)","경기도 고양시 일산서구 주엽동 72번지 2호  한솔코아 209호,214호",
미용업(피부),뷰티루다,"경기도 고양시 일산동구 일산로 38, 2층 208(일부)호 (백석동, 백석 우림보보카운티)",경기도 고양시 일산동구 백석동 1309번지   ,
미용업(피부),에스테틱솝,"경기도 고양시 덕양구 성신로 97, 햇빛마을19단지 2층 201호 (행신동)",경기도 고양시 덕양구 행신동 904번지  햇빛마을19단지 ,
미용업(피부),하닷사코스메틱,"경기도 고양시 덕양구 중고개길 88-10, 2(일부)층 (지축동, 북한산온천)",경기도 고양시 덕양구 지축동 207번지 1호  북한산온천 2층(일부) ,
미용업(피부),해피피부관리실,"경기도 고양시 덕양구 은빛로 43, 601호 (화정동, 은하수빌딩 601호일부)",경기도 고양시 덕양구 화정동 909번지 2호  601호일부 ,
미용업(피부),기바라기스킨케어,"경기도 고양시 덕양구 읍내로 15, 5층 501(일부)호 (고양동)",경기도 고양시 덕양구 고양동 248번지 74호  프라자리치 501(일부)호 ,
미용업(피부),수가에스테틱,"경기도 고양시 덕양구 중앙로 542, 3층 306호 (행신동, 세신훼밀리타운)",경기도 고양시 덕양구 행신동 952번지  세신훼밀리타운 3층 306호 ,
미용업(피부),보보속눈썹,"경기도 고양시 덕양구 삼원로 27, 1(일부)층 (삼송동)",경기도 고양시 덕양구 삼송동 361번지 3호  1층(일부) ,
미용업(피부),천지연사우나피부샵,"경기도 고양시 덕양구 충경로 48, 6층 601(일부)호 (행신동, 진일프라자2차)",경기도 고양시 덕양구 행신동 757번지  진일프라자2차 601호(일부) ,
미용업(피부),화정캣츠아이,"경기도 고양시 덕양구 화신로260번길 66, 6층 602(일부)호 (화정동, 한빛하이죤)",경기도 고양시 덕양구 화정동 975번지  한빛하이죤 6층 602(일부)호 ,
미용업(피부),바비인형속눈썹,"경기도 고양시 덕양구 능곡로 50, 1(일부)층 (토당동)",경기도 고양시 덕양구 토당동 373번지 73호  1층일부 ,
미용업(피부),이쁘지오,"경기도 고양시 덕양구 통일로 776-16, 2(일부)층 (관산동)",경기도 고양시 덕양구 관산동 228번지 6호  2층일부 ,
미용업(피부),수오피부,"경기도 고양시 덕양구 화중로138번길 5-18, 1(일부)층 (화정동)",경기도 고양시 덕양구 화정동 892번지 3호  1층일부 ,
미용업(피부),쉼스파,"경기도 고양시 덕양구 고양대로 1955, 4(일부)층 (동산동, 스타필드 고양 쇼핑몰동)",경기도 고양시 덕양구 동산동 370번지  스타필드 고양 쇼핑몰동4(일부)층 ,
미용업(피부),미그리다,"경기도 고양시 덕양구 충장로 22, 503호 (행신동, 탑프라자)",경기도 고양시 덕양구 행신동 761번지 3호  탑프라자 503호,
미용업(피부),오롯이뷰티,"경기도 고양시 덕양구 신원로2길 34, 1동 1(일부)층 (신원동)",경기도 고양시 덕양구 신원동 650번지 7호  1동 1층일부 ,
미용업(피부),미인스킨케어,"경기도 고양시 덕양구 통일로770번길 26, 장령빌딩 2(일부)층 (관산동)",경기도 고양시 덕양구 관산동 112번지 41호  장령빌딩 2(일부)층 ,
미용업(피부),조은하 스킨케어,"경기도 고양시 덕양구 충경로 52, 남정씨티프라자 4층 406-1(일부)호 (행신동)",경기도 고양시 덕양구 행신동 757번지 1호  남정씨티프라자 4층 406-1호일부 ,
미용업(피부),꽃보다 예쁜,"경기도 고양시 덕양구 동산2로 15, 더하우스 해찬솔 1(일부)층 (동산동)",경기도 고양시 덕양구 동산동 351번지 1호  더하우스 해찬솔 1층일부 ,
미용업(피부),콩뷰티,"경기도 고양시 덕양구 백양로 65, 1층 104(일부)호 (화정동, 동도센트리움)",경기도 고양시 덕양구 화정동 986번지 6호  동도센트리움 1층 104(일부)호 ,
미용업(피부),뷰티온에스테틱,"경기도 고양시 덕양구 화신로272번길 58, 영프라자빌딩 5층 515(일부)호 (화정동)",경기도 고양시 덕양구 화정동 972번지  영프라자빌딩 5층 515(일부)호 ,
미용업(피부),약손건강#,"경기도 고양시 덕양구 호국로 803, 2층 201(일부)호 (주교동, 세창아파트)",경기도 고양시 덕양구 주교동 620번지 5호  세창짜임주상복합아파트 2층 201(일부)호 ,
미용업(피부),미미샵,"경기도 고양시 덕양구 화신로260번길 37, 진솔그린프라자 4층 406호 (화정동)",경기도 고양시 덕양구 화정동 979번지  진솔그린프라자 4층 406호,
미용업(피부),살롱드보떼 원흥점,"경기도 고양시 덕양구 권율대로 900, 삼송s프라자 2층 203호 (신원동)",경기도 고양시 덕양구 신원동 628번지  삼송s프라자 2층 203호,
미용업(피부),솔샵(Sol#)스킨&바디,"경기도 고양시 덕양구 동산2로 13, 1동 1(일부)층 (동산동)",경기도 고양시 덕양구 동산동 351번지 2호  1동 1층일부 ,
미용업(피부),투미쓰왁싱,"경기도 고양시 덕양구 화신로260번길 26, 동민프라자빌딩 5층 504호 (화정동)",경기도 고양시 덕양구 화정동 986번지  동민프라자빌딩 5층 504호 ,
미용업(피부),디아무드뷰티,"경기도 고양시 덕양구 화중로130번길 32, 파스텔프라자 6층 601(일부)호 (화정동)",경기도 고양시 덕양구 화정동 905번지  파스텔프라자 601(일부)호 ,
미용업(피부),살롱드보떼스타필드점,"경기도 고양시 덕양구 동송로 33, 이편한세상시티삼송상가동 2층 2-045호 (동산동)",경기도 고양시 덕양구 동산동 369번지  이편한세상시티삼송상가동 2층 2-045호 ,
미용업(피부),명신뷰티샵,"경기도 고양시 덕양구 호국로 754, 1층 2호 (성사동, 어울림마을7단지아파트)",경기도 고양시 덕양구 성사동 727번지  신원당마을상가동 1층2호 ,
미용업(피부),라파엘테라피,"경기도 고양시 덕양구 화신로272번길 34, 미주프라자빌딩 2층 3호 (화정동)",경기도 고양시 덕양구 화정동 980번지 1호  미주프라자빌딩 2층 3호,
미용업(피부),벤자롱스파,"경기도 고양시 덕양구 통일로 1060-8, B102(일부)호 (관산동)",경기도 고양시 덕양구 관산동 672번지 66호  B102호 일부 ,
미용업(피부),제이로지,"경기도 고양시 덕양구 서삼릉1길 47, 1동 1(일부)층 (원흥동)",경기도 고양시 덕양구 원흥동 657번지 12호  1동 1층 일부 ,
미용업(피부),에비앙스킨케어,"경기도 고양시 덕양구 권율대로 672, 봄오피스텔 3층 317호 (원흥동)",경기도 고양시 덕양구 원흥동 627번지  봄오피스텔 317호,
미용업(피부),원스파사우나피부실,"경기도 고양시 덕양구 의장로 140, 원흥연세프라자 제1동 501(일부)호 (도내동)",경기도 고양시 덕양구 도내동 961번지  원흥연세프라자 501호 일부 ,
미용업(피부),퓨어스킨케어,"경기도 고양시 일산동구 대산로31번길 23-3 (정발산동,1층일부)",경기도 고양시 일산동구 정발산동 685번지 7호  1층일부 ,
미용업(피부),오데뜨스킨&바디,"경기도 고양시 일산동구 일산로 238, 5층 503호 (마두동, 대일상가)",경기도 고양시 일산동구 마두동 723번지 1호  대일상가 5층 503호 ,
미용업(피부),손길뷰티&왁싱,"경기도 고양시 일산동구 무궁화로 20-38, 3층 319호 일부호 (장항동, 로데오탑)",경기도 고양시 일산동구 장항동 757번지  외 2필지 로데오탑 3층 319호 일부호 ,
미용업(피부),세미안,"경기도 고양시 일산동구 일산로380번길 63-24, 지하1층 일부호 (정발산동)",경기도 고양시 일산동구 정발산동 1284번지 2호  지하1층 일부호 ,
미용업(피부),숲속테라피,"경기도 고양시 일산동구 숲속마을1로 139, 1층 일부호 (풍동)",경기도 고양시 일산동구 풍동 1237번지 2호   1층일부호,
미용업(피부),여시속눈썹&윤뷰티,"경기도 고양시 일산동구 중산로 70, 상가1동 2층 202호 (중산동, 일산센트럴아이파크)",경기도 고양시 일산동구 중산동 1841번지  일산센트럴아이파크 ,
미용업(피부),자연미인피부샵,"경기도 고양시 일산동구 탄중로417번길 7-9, 지하1층일부호 (중산동)",경기도 고양시 일산동구 중산동 1584번지  지하1층일부호 ,
미용업(피부),바비속눈썹,"경기도 고양시 일산동구 일산로 197, 1층 1014호 (마두동, 센터21)",경기도 고양시 일산동구 마두동 736번지 1호  외 2필지 센터21 1층 1014호 ,
미용업(피부),약손명가 에스테틱(일산백석요진점),"경기도 고양시 일산동구 강송로 33, 지하층 A-B124-1호 (백석동, 일산요진와이시티 판매문화시설)",경기도 고양시 일산동구 백석동 1237번지   ,
미용업(피부),제일,"경기도 고양시 일산동구 정발산로 43-7, 5층 503호 일부호 (장항동, 메리트원)",경기도 고양시 일산동구 장항동 856번지  메리트원 5층 503호 일부호 ,
미용업(피부),고운스킨캐어,"경기도 고양시 일산동구 고봉로278번길 29, 산들마을 2단지 203호 (중산동)",경기도 고양시 일산동구 중산동 1651번지  산들마을 2단지 ,
미용업(피부),레몬스킨케어,"경기도 고양시 일산동구 장백로 184, 3층 312호 일부호 (장항동)",경기도 고양시 일산동구 장항동 895번지 1호  3층 312호 일부호 ,
미용업(피부),힐링테라피,"경기도 고양시 일산동구 무궁화로 19-14, 5층 505호 일부호 (장항동, 로데오존)",경기도 고양시 일산동구 장항동 741번지  외 2필지 로데오존 5층 505호 일부호 ,
미용업(피부),플로라,"경기도 고양시 일산동구 일산로 38, 3층 307호 (백석동, 백석 우림보보카운티)",경기도 고양시 일산동구 백석동 1309번지   ,
미용업(피부),JB스킨케어,"경기도 고양시 일산동구 일산로 46, 3층 312호 (백석동, 남정씨티프라자)",경기도 고양시 일산동구 백석동 1308번지  3층 312호 ,
미용업(피부),올리브 스킨앤바디,"경기도 고양시 일산동구 중앙로 1130, 강촌마을 상가동 2층 C2-34호 (마두동, 강촌마을6단지아파트)",경기도 고양시 일산동구 마두동 806번지  강촌마을6단지아파트 ,
미용업(피부),화정,"경기도 고양시 일산동구 경의로 461, 4층 일부호 (정발산동)",경기도 고양시 일산동구 정발산동 1271번지 7호   ,
미용업(피부),정현에스테틱&체형관리,"경기도 고양시 일산동구 강송로74번길 71-3, 1층 일부호 (백석동)",경기도 고양시 일산동구 백석동 1154번지 7호   ,
미용업(피부),Adel(아델),"경기도 고양시 일산동구 강송로87번길 8-22, 지하층 일부호 (백석동)",경기도 고양시 일산동구 백석동 1243번지 1호   ,
미용업(피부),미스킨앤바디,"경기도 고양시 일산동구 중앙로 1036, 베스트고양터미널 고양종합터미널 7층 F7-01(전체)호 (백석동)",경기도 고양시 일산동구 백석동 1242번지  베스트 고양터미널 ,
미용업(피부),고쿠하쿠슈가링,"경기도 고양시 일산동구 중앙로 1305-56, 라페스타D 2층 206호 (장항동)",경기도 고양시 일산동구 장항동 765번지  라페스타D ,
미용업(피부),에스브로우뷰티,"경기도 고양시 일산동구 정발산로 15, 드림월드빌딩 311-1,311-2 일부호 (장항동)",경기도 고양시 일산동구 장항동 863번지 1호  드림월드빌딩 ,
미용업(피부),다움에스테틱,"경기도 고양시 일산동구 중앙로 1123, 흰돌마을상가동 1층 118호 (백석동, 흰돌마을2단지아파트)",경기도 고양시 일산동구 백석동 1351번지  흰돌마을2단지아파트 ,
미용업(피부),안남훈홀리스틱테라피,"경기도 고양시 일산동구 일산로441번길 5-12, 1층 일부호 (정발산동)",경기도 고양시 일산동구 정발산동 1203번지 4호   ,
미용업(피부),슈브 스킨& 바디,"경기도 고양시 일산동구 탄중로417번길 7-18, 1층 일부호 (중산동)",경기도 고양시 일산동구 중산동 1585번지 3호   ,
미용업(피부),은혜피부관리,"경기도 고양시 일산동구 정발산로42번길 60, 웨스턴853 2층 224호 (장항동)",경기도 고양시 일산동구 장항동 853번지 1호   ,
미용업(피부),SEACRET BODY(시크릿 바디),"경기도 고양시 일산동구 문원길 24, 가동 2층 일부호 (지영동)",경기도 고양시 일산동구 지영동 383번지 5호   ,
미용업(피부),'<REPLACE>0's 에스테틱,"경기도 고양시 일산동구 숲속마을2로 163, 1층 일부호 (풍동)",경기도 고양시 일산동구 풍동 1234번지 7호   ,
미용업(피부),더블에이,"경기도 고양시 일산동구 호수로 340-28, 비잔티움일산2단지 2층 214호 (백석동)",경기도 고양시 일산동구 백석동 1318번지 4호  비잔티움2단지 ,
미용업(피부),돈키호테라피,"경기도 고양시 일산동구 정발산로 33, 낙원프라자 2층 204호 (장항동)",경기도 고양시 일산동구 장항동 856번지 3호  낙원프라자 ,
미용업(피부),거꾸로가는시간,"경기도 고양시 일산동구 일산로 280, M타워 2층 201호 (마두동)",경기도 고양시 일산동구 마두동 908번지 3호  M타워 ,
미용업(피부),니드에스테틱,"경기도 고양시 일산동구 무궁화로141번길 28, 1층 일부호 (정발산동)",경기도 고양시 일산동구 정발산동 1189번지 5호   ,
미용업(피부),해리에스테틱,"경기도 고양시 일산동구 무궁화로 42-28, 일산프라자 206호 (장항동)",경기도 고양시 일산동구 장항동 776번지  일산프라자 ,
미용업(피부),청담스킨케어,"경기도 고양시 일산동구 중앙로 1129, 중관동 2021호 (장항동, 호수마을1단지아파트)",경기도 고양시 일산동구 장항동 902번지  호수마을1단지아파트 ,
미용업(피부),알리에스테틱,"경기도 고양시 일산동구 백석로 24, 흰돌마을상가동 2층 207호 (백석동)",경기도 고양시 일산동구 백석동 1349번지  흰돌마을3단지 ,
미용업(피부),뉴스킨피부샵,"경기도 고양시 일산동구 산두로 51, 1층 일부호 (마두동)",경기도 고양시 일산동구 마두동 879번지 3호   1층일부호,
미용업(피부),스마일왁싱,"경기도 고양시 일산동구 정발산로 39, 대양빌딩 2층 204호 (장항동)",경기도 고양시 일산동구 장항동 856번지 1호  대양빌딩 ,
미용업(피부),웰비스풋클럽,"경기도 고양시 일산동구 무궁화로 31-2, 풍성프라자 304호 (장항동)",경기도 고양시 일산동구 장항동 734번지 2호  풍성프라자 ,
미용업(피부),황실족도,"경기도 고양시 일산동구 중앙로 1227, 동양메이저빌오피스텔 214,215,216호 (장항동)",경기도 고양시 일산동구 장항동 849번지  동양메이저빌오피스텔 ,
미용업(피부),에스테티크,"경기도 고양시 일산동구 장백로 13, 성우아뜨리움오피스텔 1층 124호 (백석동)",경기도 고양시 일산동구 백석동 1314번지  성우아뜨리움오피스텔 ,
미용업(피부),엄지약손,"경기도 고양시 일산동구 호수로 646-24, 위너스21 II 2층 201호 (장항동)",경기도 고양시 일산동구 장항동 756번지 2호  위너스21 II ,
미용업(피부),예플에스테틱,"경기도 고양시 일산동구 일산로 46, 남정씨티프라자3 4층 405호 (백석동)",경기도 고양시 일산동구 백석동 1308번지  남정씨티프라자 ,
미용업(피부),스킨케어,"경기도 고양시 일산동구 일산로 38, 우림오피스텔 301(일부)호 (백석동)",경기도 고양시 일산동구 백석동 1309번지  우림오피스텔 301호 일부 ,
미용업(피부),신데렐라아미솔루션일산라페스타점,"경기도 고양시 일산동구 무궁화로 32-34, 일산라페스타C 2층 225 일부호 (장항동)",경기도 고양시 일산동구 장항동 764번지  라페스타C ,
미용업(피부),힐링뷰티,"경기도 고양시 일산동구 중앙로 1189, GM굿모닝 법조타운 3층 301호 (장항동)",경기도 고양시 일산동구 장항동 890번지 6호  GM굿모닝 법조타운 ,
미용업(피부),살롱드라라,"경기도 고양시 일산동구 정발산로42번길 60, 웨스턴853 230호 (장항동)",경기도 고양시 일산동구 장항동 853번지 1호   ,
미용업(피부),꽃보다피부,"경기도 고양시 일산서구 강선로 67, 202호 (주엽동, 강선마을상가동)",경기도 고양시 일산서구 주엽동 65번지  강선마을상가동 202호,
미용업(피부),라인업속눈썹,"경기도 고양시 일산서구 중앙로 1455, 262,267 일부호 (주엽동, 대우시티프라자)","경기도 고양시 일산서구 주엽동 115번지  대우시티프라자 262일부,267일부호 ",
미용업(피부),디올스킨케어,"경기도 고양시 일산서구 후곡로 32, 2층 202호 (일산동, 후곡마을 상가동)",경기도 고양시 일산서구 일산동 1066번지  후곡마을 상가동 202호,
미용업(피부),데일리왁싱,"경기도 고양시 일산서구 호수로 817, 2층 234-2호 (대화동, 레이킨스몰)",경기도 고양시 일산서구 대화동 2602번지  레이킨스몰 234-2호,
미용업(피부),헤븐(heaven),"경기도 고양시 일산서구 일산로803번길 74, 1층 일부호 (대화동)",경기도 고양시 일산서구 대화동 2290번지 4호  1층일부 ,
미용업(피부),이든네이처 일산주엽지사,"경기도 고양시 일산서구 중앙로 1406, 한솔코아(주) 5층 509호 (주엽동)",경기도 고양시 일산서구 주엽동 72번지 2호  한솔코아(주) 509호,
미용업(피부),올가스킨,"경기도 고양시 일산서구 중앙로 1437, 화성프라자 2층 214호 (주엽동)",경기도 고양시 일산서구 주엽동 109번지  화성프라자 214호,
미용업(피부),헤이미쉬왁싱샵(HEIMISH waxing),"경기도 고양시 일산서구 주화로 70, 비104(일부)호 (주엽동, 일산우신프라자빌딩)",경기도 고양시 일산서구 주엽동 109번지 1호  일산우신프라자빌딩비104 (일부) ,
미용업(피부),김아성스킨＆바디,"경기도 고양시 일산서구 대화2로 137, 2층 204호 (대화동, 대화마을 상가동)",경기도 고양시 일산서구 대화동 2570번지  대화마을 상가동 ,
미용업(피부),왓썹,"경기도 고양시 일산서구 중앙로 1456, 4층 418 일부호 (주엽동, 서현프라자)",경기도 고양시 일산서구 주엽동 18번지 2호  서현프라자 418호 일부 ,
미용업(피부),에니앤스킨케어,"경기도 고양시 일산서구 킨텍스로 412, 201호 (일산동, 후곡마을 상가동(7단지동성상가))",경기도 고양시 일산서구 일산동 1055번지  후곡마을 상가동(7단지동성상가) 201호,
미용업(피부),수현,"경기도 고양시 일산서구 고봉로 291, 5층 501 일부호 (일산동, 에이스스타디움)",경기도 고양시 일산서구 일산동 555번지 1호  에이스스타디움 501일부호,
미용업(피부),쟈니뷰티(JANI),"경기도 고양시 일산서구 성저로 67, 1층 일부호 (대화동)",경기도 고양시 일산서구 대화동 2076번지 1호  1층 일부 ,
미용업(피부),더예지피부관리,"경기도 고양시 일산서구 일산로 806, 장성마을상가동 101호 (대화동)",경기도 고양시 일산서구 대화동 2234번지  장성마을상가동 101호,
미용업(피부),다겸,"경기도 고양시 일산서구 주화로 70, 일산우신프라자빌 201호 (주엽동)",경기도 고양시 일산서구 주엽동 109번지 1호  일산우신프라자빌 201호,
미용업(피부),내추럴뷰티,"경기도 고양시 일산서구 중앙로 1456, 서현프라자 2층 217(일부)호 (주엽동)",경기도 고양시 일산서구 주엽동 18번지 2호  서현프라자 ,
미용업(피부),너참이쁘다,"경기도 고양시 일산서구 주화로 70, 일산우신프라자빌 3층 312(일부)호 (주엽동)",경기도 고양시 일산서구 주엽동 109번지 1호  일산우신프라자빌 3층 312(일부)호 ,
미용업(피부),에스테틱꽃일다,"경기도 고양시 일산서구 강선로 96, 강선마을5단지아파트 상가동 1층 111(전체)호 (주엽동)",경기도 고양시 일산서구 주엽동 49번지  강선마을5단지아파트 상가동 111호,
미용업(피부),프린세스 아이래쉬,"경기도 고양시 일산서구 중앙로 1567, 대화프라자 203호일부호 (대화동)",경기도 고양시 일산서구 대화동 2222번지  대화프라자 203호일부 ,
미용업(피부),더이쁜샵(The 이쁜 #),"경기도 고양시 일산서구 덕이로 20, 양우씨네플렉스 나동 1층 E-112(전체)호 (덕이동)",경기도 고양시 일산서구 덕이동 219번지 8호  양우씨네플렉스 나동 1층 E-112(전체)호 ,
미용업(피부),리미뷰티,"경기도 고양시 일산서구 강성로 101, 제일프라자 203(일부)호 (주엽동)",경기도 고양시 일산서구 주엽동 72번지  제일프라자 ,
미용업(피부),케어셀라 대화점,"경기도 고양시 일산서구 일산로741번길 46, 1(일부)층 (대화동)",경기도 고양시 일산서구 대화동 2177번지  1층일부 ,
미용업(피부),미피부관리,"경기도 고양시 일산서구 중앙로 1493, 상가동동 1080(일부)호 (주엽동, 문촌마을12단지아파트)",경기도 고양시 일산서구 주엽동 138번지  문촌마을12단지아파트상가동 1080호일부 ,
미용업(피부),주은뷰티,"경기도 고양시 일산서구 주화로 70, 일산우신프라자빌딩 지하층 비104(일부)호 (주엽동)",경기도 고양시 일산서구 주엽동 109번지 1호  일산우신프라자빌 ,
미용업(피부),에셀스킨케어,"경기도 고양시 일산서구 주엽로 101, 문촌마을상가동 208,209호 (주엽동)","경기도 고양시 일산서구 주엽동 128번지  문촌마을상가동 208,209호 ",
미용업(피부),캄에스테틱,"경기도 고양시 일산서구 주화로 5, 강선마을16단지상가동 1층 110호 (주엽동)",경기도 고양시 일산서구 주엽동 86번지  강선마을16단지 110호,
미용업(피부),제이뷰티#,"경기도 고양시 일산서구 중앙로 1470, 문촌마을 복합상가 C101호 (주엽동)",경기도 고양시 일산서구 주엽동 17번지  문촌마을 복합상가 C101호,
미용업(피부),약손건강관리,"경기도 고양시 일산서구 중앙로 1456, 서현프라자 605(일부(605-1호))호 (주엽동)",경기도 고양시 일산서구 주엽동 18번지 2호  서현프라자 605-1호 ,
